 Sample Name, AMEL, D3S1358, D1S1656, D2S441, D10S1248, D13S317, Penta E, D16S539, D18S51, D2S1338, CSF1PO, Penta D, TH01, vWA, D21S11, D7S820, D5S818, TPOX, D8S1179, D12S391, D19S433, D6S1043, D22S1045, DYS391, FGA, DYS576, DYS570, 
M8-27PY,"X, ","14, 16","15, ","11, ","12, 13","8, 9","14, 21","10, 12","14, 15","20, 23","10, 11","8, 12","9, ","14, ","32.2, 33.2","8, 11","10, 12","8, 11","14, ","18, 20","13, 14","10, 13","15, 16",", ","19, 23",", ",", ",
F7-27PY,"X, Y","15, 18","15, ","10, 11.3","13, ","11, ","11, 18","9, 11","14, 15","19, 24","10, 13","11, 12","9, ","17, 19","31, 32.2","10.1, 12","11, 13","8, ","13, 14","19, ","14, 14.2","12, 14","11, 17","10, ","20, 23","17, ","17, ",
D6-27PY,"X, ","14, 18","15, ","10, 11","13, ","9, 11","14, 18","11, 12","14, ","20, 24","11, 13","11, 12","9, ","14, 19","31, 32.2","8, 12","10, 13","8, 11","13, 14","19, 20","13, 14","13, 14","11, 15",", ","19, 20",", ",", ",
D5-27PY,"X, ","14, 18","15, ","10, 11","13, ","9, 11","14, 18","11, 12","14, ","20, 24","11, 13","11, 12","9, ","14, 19","31, 32.2","8, 12","10, 13","8, 11","13, 14","19, 20","13, 14","13, 14","11, 15",", ","19, 20",", ",", ",
