 Sample Name, D3S1358, vWA, D16S539, CSF1PO, D6S1043, Yindel, AMEL, D8S1179, D21S11, D18S51, D5S818, D2S441, D19S433, FGA, D10S1248, D22S1045, D1S1656, D13S317, D7S820, Penta E, Penta D, TH01, D12S391, D2S1338, TPOX, 
M8-VFP,"14, 16","14, ","10, 12","10, 11","10, 13",", ","X, ","14, ","32.2, 33.2","14, 15","10, 12","11, ","13, 14","19, 23","12, 13","15, 16","15, ","8, 9","8, 11","14, 21","8, 12","9, ","18, 20","20, 23","8, 11",
F7-VFP,"15, 18","17, 19","9, 11","10, 13","12, 14","1, ","X, Y","13, 14","31, 32.2","14, 15","11, 13","10, 11.3","14, 14.2","20, 23","13, ","11, 17","15, ","11, ","10.1, 12","11, 18","11, 12","9, ","19, ","19, 24","8, ",
D6-VFP,"14, 18","14, 19","11, 12","11, 13","13, 14",", ","X, ","13, 14","31, 32.2","14, ","10, 13","10, 11","13, 14","19, 20","13, ","11, 15","15, ","9, 11","8, 12","14, 18","11, 12","9, ","19, 20","20, 24","8, 11",
D5-VFP,"14, 18","14, 19","11, 12","11, 13","13, 14",", ","X, ","13, 14","31, 32.2","14, ","10, 13","10, 11","13, 14","19, 20","13, ","11, 15","15, ","9, 11","8, 12","14, 18","11, 12","9, ","19, 20","20, 24","8, 11",
